CountryID,Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,TariffRate%,IncomeTaxRate%,CorporateTaxRate%,TaxBurden%ofGDP,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,5YGDPGRate%,GDPcapita,Unemp%,Inflation%,FDIInflowM,PublicDebt%ofGDP
176,Uruguay,South and Central America / Caribbean,38,5,69.3,-0.4,70,0,70.6,0.6,77.4,-6.8,68,-0.3,74.5,1.1,68.1,-2.6,72.1,-0.4,82.5,-0.4,80,5,30,0,3.8,30,25,27.2,32.6,3.4,53.80 ,3.8,5.6,15911.00 ,6.1,8.1,"2,710.10",53.7
177,Uzbekistan,Asia-Pacific,163,37,46.5,0.5,15,0,13.4,-2.6,90.3,0.1,70.4,2.6,75.7,4.5,60.8,-0.2,63.1,0.1,66.1,0,0,0,10,0,6.9,22,9,20.2,31.4,29.4,104.70 ,8,8.4,3555.00 ,0.2,12.1,"1,094",8.6
178,Vanuatu,Asia-Pacific,93,18,59.5,2.9,40,0,33.5,-1.5,97.3,0,81.7,1.2,54.8,-1.6,56.8,-0.9,82.7,1.3,48,0,60,30,40,0,18.5,0,0,16.4,24.7,0.3,1.20 ,2.7,3.1,4916.00 ,1.7,1.4,37.7,20
179,Venezuela,South and Central America / Caribbean,175,28,36.3,0.2,5,0,16.5,-2.5,75.3,-0.3,51.8,1.2,43.4,-2.2,33.7,-0.8,49.7,2.4,62.7,3.9,5,0,20,0,8.6,34,34,12.5,40.1,29.5,401.90 ,5.5,2,13616.00 ,7.8,21.1,"3,216",57.3
180,Vietnam,Asia-Pacific,147,33,50.8,-0.2,15,0,26.9,-2.1,77,1.4,71.4,-1,62,-1.8,68.3,2.8,63.6,-1.7,78.7,0.1,15,0,30,0,5.7,35,25,21.1,30.9,90.4,320.70 ,5,5.9,3548.00 ,4.5,9.1,"8,368",52.1
181,Yemen,Middle East / North Africa,123,12,55.5,-0.4,30,0,19.4,-1.6,91.7,0.2,74.9,2.1,59.2,-2.1,54.9,-0.4,62.1,-3.6,82.4,0.9,50,0,30,0,3.8,20,20,5.3,28.9,25.9,59.10 ,0.1,0.8,2283.00 ,35,11,348.8,46.7
182,Zambia,Sub-Saharan Africa,88,9,60.4,1.7,30,0,31.3,-0.7,71.8,-1.1,82.9,2.6,74.9,14.5,50.1,-8.3,68,2,84.6,2.3,60,5,50,0,2.7,35,35,19.3,23.9,13.9,24.00 ,7.3,6.8,1722.00 ,14,6.6,"1,066",26.9
183,Zimbabwe,Sub-Saharan Africa,176,46,35.5,6.9,10,0,19.3,-2.7,63.3,-8.5,64,-2.4,34.5,1.1,22.2,0.3,73,73,54.2,3.8,5,5,10,0,15.4,46.4,25,30,34.6,13,7.20 ,4.4,2.5,559.00 ,95,3.7,399.5,60.5
184,Somalia,Sub-Saharan Africa,N/A,N/A,N/A,N/A,N/A,N/A,5,-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,107.3,N/A
185,Kosovo,Europe,N/A,N/A,N/A,N/A,30,0,28.6,-0.4,92.7,-0.8,73,0,58.1,5.7,71.3,-6.4,72.7,N/A,N/A,N/A,65,0,N/A,N/A,N/A,10,10,23.1,30,1.8,13.40 ,2.1,4.1,3453.00 ,45.3,2.5,293.2,5.5
186,Brunei ,Asia-Pacific,40,10,69,N/A,40,N/A,53.3,N/A,90.2,N/A,66.1,N/A,68.2,N/A,96.5,N/A,74.2,N/A,81.8,N/A,70,N/A,50,N/A,4.1,0,20,24,33.6,0.4,21.70 ,1.3,0.5,54389.00 ,2.7,0.5,850,2.4
